Designator,Mid X,Mid Y,Rotation,Layer
C1,105.7,-60.0,0.0,top
H1,112.0,-64.45375,90.0,top
JP1,112.38,-52.5,0.0,top
U1,98.48,-61.514,0.0,top
U2,87.48,-61.6175,0.0,top
U3,105.5,-52.0,0.0,top
U4,90.5,-44.0,0.0,top
USB1,110.47,-39.4,90.0,top
