Designator,Mid X,Mid Y,Rotation,Layer
C1,157.0,-86.33,0.0,top
C2,157.0,-89.0,0.0,top
JP1,152.5,-77.12,90.0,top
SW1,149.64,-114.27,0.0,top
SW2,159.5,-114.0,0.0,top
U1,135.88,-91.0,0.0,top
U2,129.76,-76.52,0.0,top
U3,141.8,-75.59,0.0,top
U4,129.5,-111.0,0.0,top
U5,166.9,-109.8125,90.0,top
U6,158.0,-101.5,0.0,top
U7,147.975,-125.65,180.0,top
U8,168.55,-97.8,180.0,top
USB1,136.82,-126.97,0.0,top
